departamento,codigo_dane,municipio,poblacion,homicidios,tasa_homicidios
BOLÍVAR,13430,Magangué,149065,29,19.454600342132625
BOYACÁ,15097,Boavita,5145,1,19.436345966958214
MAGDALENA,47170,Chivolo,25934,5,19.279710033161102
ANTIOQUIA,5021,Alejandría,5196,1,19.245573518090836
ANTIOQUIA,5837,Turbo,130019,25,19.227958990609064
NARIÑO,52560,Potosí,10402,2,19.227071716977505
NARIÑO,52683,Sandoná,20826,4,19.206760779794486
BOLÍVAR,13188,Cicuco,15697,3,19.11193221634707
TOLIMA,73483,Natagaima,15717,3,19.08761213972132
CUNDINAMARCA,25572,Puerto Salgar,15771,3,19.022256039566294
BOLÍVAR,13647,San Estanislao,21053,4,18.99966750581865
BOYACÁ,15476,Motavita,5281,1,18.935807612194658
BOYACÁ,15667,San Luis de Gaceno,5304,1,18.85369532428356
SUCRE,70670,Sampués,53083,10,18.83842284723923
ATLÁNTICO,8296,Galapa,69030,13,18.832391713747647
SUCRE,70678,San Benito Abad,31892,6,18.81349554747272
ANTIOQUIA,5607,Retiro,26766,5,18.68041545243966
HUILA,41676,Santa María,10740,2,18.6219739292365
CÓRDOBA,23570,Pueblo Nuevo,37976,7,18.43269433326311
CASANARE,85250,Paz de Ariporo,38468,7,18.19694291359052
BOLÍVAR,13458,Montecristo,16510,3,18.170805572380377
ANTIOQUIA,5129,Caldas,88316,16,18.116762534535077
NARIÑO,52565,Providencia,5555,1,18.001800180018
ANTIOQUIA,5873,Vigía del Fuerte,11150,2,17.937219730941703
TOLIMA,73622,Roncesvalles,5609,1,17.828489926903192
CUNDINAMARCA,25743,Silvania,22445,4,17.82134105591446
SUCRE,70001,Sincelejo (CT),319888,57,17.818736557795226
ANTIOQUIA,5147,Carepa,50543,9,17.806620105652613
SANTANDER,68077,Barbosa,33724,6,17.791483809749735
MAGDALENA,47707,Santa Ana,28187,5,17.73867385674247
CUNDINAMARCA,25491,Nocaima,5654,1,17.686593562079942
CÓRDOBA,23189,Ciénaga de Oro,62594,11,17.573569351695053
CUNDINAMARCA,25148,Caparrapí,11509,2,17.377704405248068
BOYACÁ,15835,Turmequé,5756,1,17.373175816539263
ANTIOQUIA,5475,Murindó,5769,1,17.33402669440111
CESAR,20443,Manaure,11548,2,17.319016279875303
SANTANDER,68101,Bolívar,11558,2,17.304031839418585
NARIÑO,52885,Yacuanquer,11573,2,17.281603732826408
SUCRE,70823,Tolú Viejo,23190,4,17.248814144027598
CAUCA,19001,Popayán (CT),348444,60,17.219409718634846
CAUCA,19355,Inzá,29139,5,17.15913380692543
SANTANDER,68307,Girón,175000,30,17.142857142857142
BOLÍVAR,13440,Margarita,11721,2,17.063390495691493
QUINDÍO,63212,Córdoba,5866,1,17.047391749062392
SUCRE,70713,San Onofre,52983,9,16.986580601324953
HUILA,41306,Gigante,23760,4,16.835016835016837
BOYACÁ,15185,Chitaraque,5961,1,16.775708773695687
SUCRE,70110,Buenavista,11927,2,16.768676113020877
CHOCÓ,27160,Cértegui,5986,1,16.70564650851988
CASANARE,85001,Yopal (CT),192468,32,16.626140449321447
CHOCÓ,27615,Riosucio,30082,5,16.62123529020677
ANTIOQUIA,5490,Necoclí,42718,7,16.386534950138113
ATLÁNTICO,8638,Sabanalarga,103909,17,16.360469256753507
SUCRE,70508,Ovejas,24462,4,16.351892731583682
META,50226,Cumaral,24556,4,16.28929793125916
CAUCA,19022,Almaguer,18432,3,16.276041666666664
CALDAS,17042,Anserma,37428,6,16.03077909586406
TOLIMA,73349,Honda,24953,4,16.030136656914998
BOYACÁ,15638,Sáchica,6250,1,16.0
SUCRE,70820,Santiago de Tolú,37512,6,15.99488163787588
ANTIOQUIA,5264,Entrerrios,12568,2,15.913430935709737
MAGDALENA,47058,Ariguaní,31525,5,15.860428231562253
ANTIOQUIA,5306,Giraldo,6331,1,15.795293002685199
CHOCÓ,27205,Condoto,12664,2,15.792798483891344
BOLÍVAR,13433,Mahates,31676,5,15.784821315822706
TOLIMA,73124,Cajamarca,19013,3,15.778677746804817
CALDAS,17877,Viterbo,12728,2,15.713387806411063
BOYACÁ,15051,Arcabuco,6370,1,15.698587127158556
TOLIMA,73055,Armero,12831,2,15.587249629802821
GUAJIRA,44650,San Juan del Cesar,57850,9,15.557476231633533
CASANARE,85410,Tauramena,25904,4,15.441630636195184
BOYACÁ,15223,Cubará,12974,2,15.415446277169725
ATLÁNTICO,8421,Luruaco,32443,5,15.41164503899146
SANTANDER,68498,Ocamonte,6494,1,15.398829688943641
TOLIMA,73449,Melgar,39096,6,15.34683855125844
NARIÑO,52378,La Cruz,19560,3,15.337423312883436
CUNDINAMARCA,11001,Bogotá D.C. (CT),7918660,1214,15.330876688732689
GUAJIRA,44430,Maicao,208965,32,15.313569258009716
ANTIOQUIA,5467,Montebello,6595,1,15.163002274450342
BOLÍVAR,13894,Zambrano,13291,2,15.047776690993905
RISARALDA,66075,Balboa,6647,1,15.044380923724988
ANTIOQUIA,5591,Puerto Triunfo,20006,3,14.995501349595122
CASANARE,85263,Pore,13407,2,14.917580368464236
CUNDINAMARCA,25862,Vergara,6708,1,14.90757304710793
CUNDINAMARCA,25781,Sutatausa,6727,1,14.86546751895347
CUNDINAMARCA,25845,Une,6730,1,14.858841010401187
BOYACÁ,15204,Cómbita,13473,2,14.844503822459735
CUNDINAMARCA,25269,Facatativá,161874,24,14.826346417584046
CUNDINAMARCA,25878,Viotá,13500,2,14.814814814814815
BOYACÁ,15681,San Pablo de Borbur,6772,1,14.766686355581808
ATLÁNTICO,8560,Ponedera,27097,4,14.76178174705687
CAUCA,19824,Totoró,27100,4,14.760147601476016
SANTANDER,68276,Floridablanca,312530,46,14.718587015646499
CALDAS,17444,Marquetalia,13619,2,14.685366032748364
CASANARE,85440,Villanueva,40889,6,14.673873168822912
NARIÑO,52694,San Pedro de Cartago,6842,1,14.615609470914936
SUCRE,70717,San Pedro,20760,3,14.450867052023122
TOLIMA,73678,San Luis,13979,2,14.307175048286716
NORTE DE SANTANDER,54206,Convención,20973,3,14.304105278214847
NORTE DE SANTANDER,54377,Labateca,6999,1,14.287755393627661
SANTANDER,68855,Valle de San José,7004,1,14.277555682467161
ATLÁNTICO,8558,Polonuevo,21012,3,14.277555682467161
CALDAS,17662,Samaná,21128,3,14.199166982203712
META,50606,Restrepo,21173,3,14.168988806498843
NORTE DE SANTANDER,54720,Sardinata,28494,4,14.038043096792306
ANTIOQUIA,5368,Jericó,14317,2,13.969406998672905
TOLIMA,73001,Ibagué (CT),552035,77,13.948390953472153
ANTIOQUIA,5495,Nechí,28955,4,13.814539803142807
CUNDINAMARCA,25875,Villeta,29130,4,13.731548232063165
CAUCA,19760,Sotara,14596,2,13.702384214853385
SANTANDER,68547,Piedecuesta,189863,26,13.694084682112893
CAUCA,19318,Guapi,29275,4,13.663535439795046
CUNDINAMARCA,25486,Nemocón,14659,2,13.643495463537759
ATLÁNTICO,8078,Baranoa,73740,10,13.561160835367508
CESAR,20400,La Jagua de Ibirico,58996,8,13.560241372296428
SANTANDER,68773,Sucre,7377,1,13.555645926528397
ANTIOQUIA,5842,Uramita,7406,1,13.502565487442613
CÓRDOBA,23079,Buenavista,22295,3,13.45593182327876
BOYACÁ,15755,Socotá,7460,1,13.404825737265417
GUAJIRA,44110,El Molino,7527,1,13.28550551348479
NARIÑO,52207,Consaca,15175,2,13.179571663920921
CUNDINAMARCA,25612,Ricaurte,15191,2,13.165690211309329
CÓRDOBA,23682,San José de Uré,15244,2,13.119916032537391
ANTIOQUIA,5364,Jardín,15350,2,13.02931596091205
NARIÑO,52352,Iles,7678,1,13.024225058609012
ANTIOQUIA,5585,Puerto Nare,15465,2,12.932428063368897
META,50110,Barranca de Upía,7750,1,12.903225806451614
CAQUETÁ,18205,Curillo,7783,1,12.848515996402416
CÓRDOBA,23001,Montería (CT),563597,72,12.77508574389147
NARIÑO,52254,El Peñol,7831,1,12.769761205465457
NARIÑO,52838,Túquerres,47014,6,12.762155953545754
NARIÑO,52354,Imués,7836,1,12.761613067891782
TOLIMA,73217,Coyaima,23625,3,12.698412698412698
CUNDINAMARCA,25839,Ubalá,7889,1,12.675877804537965
BOLÍVAR,13667,San Martín de Loba,15853,2,12.615908660821296
CÓRDOBA,23162,Cereté,119389,15,12.563971555168399
ATLÁNTICO,8372,Juan de Acosta,23939,3,12.531851789966163
CAQUETÁ,18001,Florencia (CT),184170,23,12.48846174729869
BOLÍVAR,13268,El Peñón,8018,1,12.47193813918683
CUNDINAMARCA,25815,Tocaima,16059,2,12.45407559623887
BOYACÁ,15600,Ráquira,8043,1,12.433171702101205
VALLE,76306,Ginebra,24240,3,12.376237623762377
GUAJIRA,44874,Villanueva,32651,4,12.25077333006646
ANTIOQUIA,5001,Medellín (CT),2524747,309,12.238850070917998
ANTIOQUIA,5380,La Estrella,81925,10,12.206286237412268
CÓRDOBA,23090,Canalete,16420,2,12.18026796589525
PUTUMAYO,86001,Mocoa (CT),65766,8,12.164340236596416
HUILA,41078,Baraya,8221,1,12.16397031991242
BOYACÁ,15183,Chita,8239,1,12.137395314965408
BOYACÁ,15837,Tuta,8251,1,12.119743061447098
CÓRDOBA,23555,Planeta Rica,66459,8,12.037496802539913
CESAR,20570,Pueblo Bello,33724,4,11.860989206499822
CESAR,20787,Tamalameque,16871,2,11.854661845770849
CUNDINAMARCA,25438,Medina,8472,1,11.803588290840416
NARIÑO,52203,Colón,8501,1,11.763321962122104
BOLÍVAR,13062,Arroyohondo,8531,1,11.72195522213105
NARIÑO,52573,Puerres,8534,1,11.717834544176236
CÓRDOBA,23417,Lorica,120346,14,11.633124491050804
META,50150,Castilla la Nueva,17240,2,11.600928074245939
CHOCÓ,27245,El Carmen de Atrato,8622,1,11.59823706796567
CÓRDOBA,23182,Chinú,52071,6,11.522728582128249
CUNDINAMARCA,25473,Mosquera,173675,20,11.515762199510581
NORTE DE SANTANDER,54820,Toledo,17424,2,11.47842056932966
ANTIOQUIA,5282,Fredonia,26245,3,11.430748714040769
CUNDINAMARCA,25260,El Rosal,26497,3,11.322036456957392
BOLÍVAR,13838,Turbaná,17726,2,11.282861333634209
CUNDINAMARCA,25245,El Colegio,26618,3,11.270568788038169
SANTANDER,68861,Vélez,26750,3,11.214953271028037
SANTANDER,68689,San Vicente de Chucurí,35766,4,11.18380584913046
ATLÁNTICO,8685,Santo Tomás,36050,4,11.095700416088766
TOLIMA,73226,Cunday,9022,1,11.084016847705607
SANTANDER,68615,Rionegro,27251,3,11.008770320355216
RISARALDA,66572,Pueblo Rico,18266,2,10.949304719150334
CALDAS,17433,Manzanares,18375,2,10.884353741496598
RISARALDA,66456,Mistrató,18387,2,10.877250231141566
BOLÍVAR,13810,Tiquisio,18535,2,10.790396547073104
META,50006,Acacías,102025,11,10.78167115902965
CASANARE,85162,Monterrey,18836,2,10.617965597791464
RISARALDA,66400,La Virginia,28384,3,10.56933483652762
CÓRDOBA,23586,Purísima,19091,2,10.476140589806715
ATLÁNTICO,8141,Candelaria,19104,2,10.469011725293132
TOLIMA,73870,Villahermosa,9556,1,10.464629552113855
CAUCA,19809,Timbiquí,29010,3,10.341261633919338
CUNDINAMARCA,25394,La Palma,9706,1,10.302905419328251
CALDAS,17653,Salamina,19511,2,10.25062785095587
BOYACÁ,15759,Sogamoso,136725,14,10.239531907112818
CASANARE,85010,Aguazul,39218,4,10.199398235504106
CUNDINAMARCA,25290,Fusagasugá,156943,16,10.194784093588119
CÓRDOBA,23660,Sahagún,118572,12,10.120433154539015
ATLÁNTICO,8606,Repelón,29894,3,10.035458620458954
ATLÁNTICO,8832,Tubará,20017,2,9.991507218863966
NARIÑO,52381,La Florida,10098,1,9.902951079421667
CAQUETÁ,18460,Milán,10177,1,9.826078412105728
CUNDINAMARCA,25899,Zipaquirá,163372,16,9.793599882476801
MAGDALENA,47541,Pedraza,10248,1,9.758001561280249
SANTANDER,68770,Suaita,10286,1,9.721952167995333
ANTIOQUIA,5376,La Ceja,72033,7,9.71776824510988
NORTE DE SANTANDER,54405,Los Patios,103208,10,9.689171382063407
CALDAS,17088,Belalcázar,10467,1,9.553835865099838
ANTIOQUIA,5051,Arboletes,31449,3,9.539254030334828
SUCRE,70233,El Roble,10586,1,9.446438692612885
VICHADA,99524,La Primavera,10603,1,9.431293030274452
NORTE DE SANTANDER,54344,Hacarí,10775,1,9.280742459396752
ANTIOQUIA,5665,San Pedro de Urabá,32352,3,9.27299703264095
CAQUETÁ,18756,Solano,10830,1,9.233610341643582
CALDAS,17867,Victoria,10927,1,9.151642719868216
CÓRDOBA,23464,Momil,22186,2,9.014693951140359
CÓRDOBA,23807,Tierralta,100490,9,8.956115036322023
CHOCÓ,27425,Medio Atrato,11179,1,8.94534394847482
BOYACÁ,15238,Duitama,134425,12,8.926910916868142
MAGDALENA,47161,Cerro San Antonio,11374,1,8.791981712678037
CUNDINAMARCA,25718,Sasaima,11389,1,8.780402142418122
CHOCÓ,27077,Bajo Baudó,34197,3,8.772699359592947
BOLÍVAR,13030,Altos del Rosario,11401,1,8.771160424524163
CUNDINAMARCA,25785,Tabio,22884,2,8.739730816290859
SANTANDER,68500,Oiba,11595,1,8.624407072013799
NARIÑO,52320,Guaitarilla,11604,1,8.617718028266115
CUNDINAMARCA,25001,Agua de Dios,11820,1,8.460236886632826
CUNDINAMARCA,25286,Funza,118457,10,8.441881864305191
ANTIOQUIA,5088,Bello,593344,50,8.426814798835077
TOLIMA,73504,Ortega,36303,3,8.263779852904719
CALDAS,17873,Villamaría,72649,6,8.258888628886838
MAGDALENA,47555,Plato,72742,6,8.24832971323307
BOLÍVAR,13140,Calamar,24810,2,8.061265618702137
TOLIMA,73352,Icononzo,12415,1,8.054772452678211
NARIÑO,52621,Roberto Payán,12427,1,8.04699444757383
CHOCÓ,27073,Bagadó,12471,1,8.018603159329643
TOLIMA,73411,Líbano,37508,3,7.998293697344567
SANTANDER,68406,Lebrija,50221,4,7.964795603432828
CUNDINAMARCA,25658,San Francisco,12563,1,7.959882193743533
NARIÑO,52001,Pasto (CT),403166,32,7.937177242128553
BOYACÁ,15516,Paipa,37880,3,7.919746568109821
ANTIOQUIA,5240,Ebéjico,12627,1,7.919537499010058
BOLÍVAR,13650,San Fernando,12766,1,7.833307222309259
NORTE DE SANTANDER,54250,El Tarra,26769,2,7.47132877582278
NARIÑO,52227,Cumbal,40406,3,7.424639904964609
MAGDALENA,47605,Remolino,13533,1,7.389344565137073
NORTE DE SANTANDER,54670,San Calixto,13579,1,7.364312541424257
SANTANDER,68167,Charalá,13688,1,7.305669199298655
HUILA,41378,La Argentina,13876,1,7.206687806284232
NARIÑO,52427,Magüi,27970,2,7.150518412584913
BOLÍVAR,13657,San Juan Nepomuceno,42048,3,7.134703196347032
RISARALDA,66594,Quinchía,28224,2,7.086167800453515
ATLÁNTICO,8770,Suan,14150,1,7.06713780918728
CASANARE,85230,Orocué,14229,1,7.027900766041184
ANTIOQUIA,5660,San Luis,14242,1,7.021485746383935
GUAJIRA,44098,Distracción,14277,1,7.004272606289836
MAGDALENA,47318,Guamal,28668,2,6.976419701409237
MAGDALENA,47798,Tenerife,14340,1,6.97350069735007
SANTANDER,68229,Curití,14441,1,6.924728204417977
NARIÑO,52788,Tangua,14521,1,6.886578059362303
CUNDINAMARCA,25040,Anolaima,14581,1,6.858240175570948
NARIÑO,52258,El Tablón de Gómez,14671,1,6.816167950378297
CUNDINAMARCA,25317,Guachetá,14716,1,6.79532481652623
ATLÁNTICO,8849,Usiacurí,15033,1,6.652032195835829
CUNDINAMARCA,25214,Cota,46260,3,6.485084306095979
CUNDINAMARCA,25430,Madrid,139289,9,6.4613860390985645
BOLÍVAR,13222,Clemencia,15919,1,6.281801620704818
PUTUMAYO,86749,Sibundoy,16037,1,6.235580220739539
CESAR,20295,Gamarra,16058,1,6.227425582264291
SUCRE,70523,Palmito,16081,1,6.218518748834027
CUNDINAMARCA,25817,Tocancipá,48367,3,6.202576136622077
BOLÍVAR,13468,Mompós,48552,3,6.178942165101334
NARIÑO,52240,Chachagüí,16366,1,6.110228522546743
CÓRDOBA,23500,Moñitos,32846,2,6.089021494245874
MAGDALENA,47660,Sabanas de San Angel,16704,1,5.986590038314176
SUCRE,70771,Sucre,33442,2,5.980503558399617
SANTANDER,68418,Los Santos,16737,1,5.97478640138615
HUILA,41016,Aipe,17200,1,5.813953488372094
CALDAS,17001,Manizales (CT),467681,27,5.773165897267582
SUCRE,70124,Caimito,17498,1,5.7149388501543035
CUNDINAMARCA,25769,Subachoque,17703,1,5.648760097158673
SANTANDER,68755,Socorro,36336,2,5.504183179216204
VALLE,76377,La Cumbre,18290,1,5.467468562055768
CÓRDOBA,23855,Valencia,36721,2,5.446474769205632
CUNDINAMARCA,25386,La Mesa,36901,2,5.419907319584835
CHOCÓ,27495,Nuquí,18555,1,5.3893829156561575
HUILA,41791,Tarqui,18649,1,5.362217813287575
CUNDINAMARCA,25772,Suesca,19171,1,5.2162119868551455
CÓRDOBA,23419,Los Córdobas,19217,1,5.203725867721289
BOYACÁ,15299,Garagoa,19295,1,5.182689816014512
BOYACÁ,15646,Samacá,19327,1,5.17410875976613
GUAINÍA,94001,Inírida (CT),38710,2,5.1666236114699045
BOYACÁ,15176,Chiquinquirá,58135,3,5.160402511395889
ANTIOQUIA,5659,San Juan de Urabá,20025,1,4.9937578027465666
ANTIOQUIA,5360,Itagui,302075,15,4.965654224944137
CÓRDOBA,23675,San Bernardo del Viento,40897,2,4.890334254346285
CUNDINAMARCA,25295,Gachancipá,20800,1,4.8076923076923075
VICHADA,99773,Cumaribo,104385,5,4.78996024332998
CHOCÓ,27150,Carmen del Darien,21234,1,4.709428275407365
ANTIOQUIA,5266,Envigado,260430,12,4.607764082478977
TOLIMA,73585,Purificación,24074,1,4.153858934950569
GUAJIRA,44560,Manaure,96422,4,4.148430856028708
SANTANDER,68235,El Carmen de Chucurí,24214,1,4.129842240026432
SUCRE,70235,Galeras,25175,1,3.972194637537239
SUCRE,70418,Los Palmitos,25570,1,3.9108330074305826
MAGDALENA,47258,El Piñon,26170,1,3.8211692777990063
NORTE DE SANTANDER,54518,Pamplona,52427,2,3.814828237358613
CALDAS,17614,Riosucio,52440,2,3.8138825324180017
CHOCÓ,27250,El Litoral del San Juan,26236,1,3.8115566397316667
BOYACÁ,15001,Tunja (CT),187765,7,3.728064335738823
CUNDINAMARCA,25175,Chía,169539,6,3.5390087236565035
CÓRDOBA,23686,San Pelayo,57804,2,3.4599681682928516
QUINDÍO,63190,Circasia,29013,1,3.446730775859098
VAUPÉS,97001,Mitú (CT),31810,1,3.1436655139893115
CUNDINAMARCA,25758,Sopó,32937,1,3.0360992197225007
SANTANDER,68679,San Gil,67893,2,2.9458117920846036
CUNDINAMARCA,25843,Villa de San Diego de Ubate,47305,1,2.1139414438220063
CÓRDOBA,23068,Ayapel,49883,1,2.0046909768859127
ANTIOQUIA,5631,Sabaneta,103765,2,1.9274321784802195
CÓRDOBA,23670,San Andrés Sotavento,52225,1,1.9147917663954046
CUNDINAMARCA,25126,Cajicá,118870,1,0.8412551526878103
GUAJIRA,44847,Uribia,200665,1,0.4983430094934343
